"Nazwa uczelni","Nazwa kierunku studiów","Podstawowe informacje","Liczba studentów","Udział kobiet wśród studentów","Liczba kobiet wśród studentów","Udział studentów cudzoziemców","Liczba studentów cudzoziemców"
"Uniwersytet w Siedlcach(strona rekrutacyjna)",informatyka,"profil studiów: ogólnoakademickie uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",0,"",0,"",0
"Uniwersytet w Siedlcach(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",80,"3,8%",3,"15,0%",12
"Uniwersytet Łódzki(strona rekrutacyjna)",informatyka,"profil studiów: ogólnoakademickie uzyskiwany tytuł: licencjat lub inny równorzędny język kształcenia: polski",245,"16,3%",40,"69,8%",171
"Uniwersytet Łódzki(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",134,"21,6%",29,"10,4%",14
"Uniwersytet Łódzki(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: licencjat lub inny równorzędny język kształcenia: polski",0,"",0,"",0
"Uniwersytet Śląski w Katowicach(strona rekrutacyjna)",informatyka,"profil studiów: ogólnoakademickie uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",137,"15,3%",21,"21,2%",29
"Warszawska Wyższa Szkoła Informatyki w Warszawie(strona rekrutacyjna)",informatyka,"profil studiów: ogólnoakademickie uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",0,"",0,"",0
"Warszawska Wyższa Szkoła Informatyki w Warszawie(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",66,"7,6%",5,"3,0%",2
"Wielkopolska Akademia Społeczno - Ekonomiczna w Środzie Wielkopolskiej - Akademia Nauk Stosowanych(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",5,"40,0%",2,"0,0%",0
"Wielkopolska Akademia Społeczno - Ekonomiczna w Środzie Wielkopolskiej - Akademia Nauk Stosowanych(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",17,"0,0%",0,"5,9%",1
